Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.02,-8995.34905537364,418.4083429642,40.754173319732,20.1026053368162,-35.4512045161651,-16386.9637621296,45.2358256360291,845.96958370053,NaN,NaN,25382.3128052866,-463.644168600229,40.5882333634033,-36.8201507081751,-17.0786764530909
0.021,-923.718509751516,549.533313201369,40.7588543752673,20.1080628851571,-35.4534908999214,-26311.8277212044,41.8294442399971,845.896719277332,NaN,NaN,27235.5462216078,-591.362757441367,40.5926322365489,-36.8231402374044,-17.0826852382218
0.022,7238.31263095819,626.8862580387,40.7638359429234,20.1119672729635,-35.4570034435063,-33661.1230778976,34.3314866648414,845.906348933664,NaN,NaN,26422.8104415746,-661.217744703541,40.5972692145378,-36.8269767400054,-17.0854339092911
0.023,14691.8340677046,642.893829154582,40.7685229439427,20.1142010625641,-35.461124892557,-37715.5122750896,23.4753562281405,845.931840855316,NaN,NaN,23023.6782067362,-666.369185382723,40.6015357800898,-36.8310500069675,-17.0867920653987
0.024,20707.22016792,595.987376385859,40.7725120131216,20.1147598199595,-35.4653940235476,-38078.1252012701,10.3236551001682,845.922043053078,NaN,NaN,17370.9050377133,-606.311031486027,40.6049009159578,-36.8346918416626,-17.0869381494901
0.025,24695.6373526227,490.756812309425,40.7757451507605,20.1141323497467,-35.4694667625078,-34713.452588184,-3.8359814189126,845.925174425919,NaN,NaN,10017.815244642,-486.920830890512,40.6074802341828,-36.8380025243459,-17.085930498098
0.026,26266.6785329467,337.501406136899,40.7779304106857,20.112463998101,-35.4729248935553,-27950.8106958499,-17.6172512400592,845.941067710113,NaN,NaN,1684.13217602371,-319.88415489684,40.6090975985614,-36.8406616837884,-17.0840409291869
0.027,25266.5723221752,151.221584838758,40.7789972421558,20.1100550836806,-35.4755169181096,-18452.198162495,-29.6712858726927,845.948121269927,NaN,NaN,-6814.3741436766,-121.550298966066,40.6097027951439,-36.8424980623872,-17.081519183987
0.028,21793.2172311867,-49.8494745354754,40.7788958848933,20.1072132548049,-35.4770112145423,-7147.45056099171,-38.8183409507304,845.947743096483,NaN,NaN,-14645.766652729,88.6678154862059,40.6094018583243,-36.8434078605845,-17.0788411934033
0.029,16186.6070562589,-246.030654300479,40.7778596140749,20.1042776191614,-35.4774837906649,4856.87297471483,-44.1628882640789,845.959638772459,NaN,NaN,-21043.4800136052,290.193542564558,40.6083664096438,-36.8434565833911,-17.0762738748142
0.03,8995.56057894088,-418.11941543384,40.7761479577586,20.1015363414543,-35.4770697632458,16385.7385709708,-45.1816288588963,845.979370429056,NaN,NaN,-25381.2991342524,463.301044292737,40.6067833176674,-36.8427623427729,-17.0740069802593
0.031,923.983596129113,-549.271505697165,40.7740193395233,20.0992174524049,-35.4759370686774,26310.6090449299,-41.774905581249,845.995899992612,NaN,NaN,-27234.5926284946,591.046411278414,40.604859691697,-36.8414802646669,-17.0721985253967
0.032,-7238.01412328446,-626.649702949098,40.7717386656447,20.097500639932,-35.4742884614697,33659.9259072266,-34.2763129299796,846.00204546783,NaN,NaN,-26421.9117756236,660.926015879078,40.6028213778114,-36.8398064404174,-17.0709626345746
0.033,-14691.4727396684,-642.680487810978,40.7695521556094,20.0964854353255,-35.4723505862906,37714.3088983277,-23.4197362015495,846.005871374425,NaN,NaN,-23022.8361553,666.100224012528,40.6009263952767,-36.8380016367983,-17.0703503057766
0.034,-20706.7986050131,-595.795442541358,40.7676481103188,20.096146623167,-35.4703541474702,38076.9163089899,-10.2678039166263,846.007849235882,NaN,NaN,-17370.1177058029,606.063246457985,40.5993232543955,-36.8362465988631,-17.0703246958764
0.035,-24695.1787949771,-490.584733988713,40.7661686570714,20.0964229166131,-35.4684971902309,34712.2415616871,3.89199595240138,846.007229017688,NaN,NaN,-10017.0627734873,486.692738036312,40.5981212993151,-36.8347013039281,-17.0708005929511
0.036,-26266.1906125281,-337.347714883231,40.7651884516514,20.0971916339708,-35.4669349948103,27949.6087121314,17.6735139293272,846.003799287953,NaN,NaN,-1683.41811056533,319.674200953904,40.5973707743505,-36.833468187932,-17.0716763980193
0.037,-25266.0426071193,-151.084877152578,40.7647401329754,20.0983136653991,-35.4657838756772,18451.0091573486,29.7278392087924,845.99925258648,NaN,NaN,6815.03343574827,121.357037943786,40.5970843758892,-36.8326334747625,-17.0727962307546
0.038,-21792.647563572,49.9704576942027,40.7647844116059,20.0996281656103,-35.4650898170146,7146.25944921323,38.8750904459023,845.994794794345,NaN,NaN,14646.3880987174,-88.8455481401051,40.5972221019544,-36.8322182269681,-17.0740195289923
0.039,-16186.013824177,246.137068802153,40.7652526642461,20.1009822693524,-35.4648605888562,-4858.0667821382,44.2197756741642,845.989574274976,NaN,NaN,21044.0805906569,-290.356844476317,40.5977083047211,-36.8322013493779,-17.075211956345
0.04,-8994.94020714783,418.212404410975,40.7660345798936,20.1022399853399,-35.4650464956819,-16386.9299663923,45.2386413736885,845.984313698179,NaN,NaN,25381.8701594326,-463.451045784663,40.5984513552237,-36.8325302854718,-17.0762690659366
0.041,-923.331212311078,549.352090741671,40.767008878543,20.1032944495486,-35.4655687276823,-26311.7890241227,41.832058419749,845.979769268997,NaN,NaN,27235.1202253317,-591.18414916142,40.5993370393905,-36.8331195482896,-17.0771037468135
0.042,7238.68994071824,626.71877420066,40.7680545587355,20.1040751102116,-35.4663282067232,-33661.1044301726,34.3335593841922,845.976817938136,NaN,NaN,26422.4144824775,-661.052333584852,40.6002627525943,-36.8338772505953,-17.0776702822071
0.043,14692.1634697526,642.738903558171,40.7690599134468,20.1045417930835,-35.4672193090518,-37715.4883327277,23.4770569797564,845.975135141074,NaN,NaN,23023.3248608536,-666.215960537928,40.6011359202399,-36.8347089710289,-17.0779522494178
0.044,20707.5127678073,595.844057089301,40.7699334295679,20.1046959088029,-35.4681360416072,-38078.0929408367,10.3251921886638,845.974422566492,NaN,NaN,17370.5801760216,-606.169249277965,40.6018776740155,-36.8355218530188,-17.0779624215388
0.045,24695.9164075599,490.624283468484,40.7706120346805,20.1045704692811,-35.4689871849781,-34713.4096980911,-3.83454887454774,845.974572509411,NaN,NaN,10017.4932983656,-486.789734593937,40.602433729399,-36.836237282278,-17.0777412919259
0.046,26266.9406056308,337.378847866896,40.7710583702203,20.1042172117212,-35.4697004629564,-27950.7747824564,-17.6160505443803,845.975392406264,NaN,NaN,1683.83418878885,-319.762797322516,40.6027798102388,-36.83680389637,-17.0773419190201
0.047,25266.8037527776,151.108246613411,40.7712609548291,20.1037022645042,-35.4702251910943,-18452.1756647092,-29.6703705815946,845.976490834613,NaN,NaN,-6814.62807312552,-121.437876031817,40.6029119417616,-36.8371893582706,-17.0768245974876
0.048,21793.428343949,-49.954227700399,40.7712368129201,20.1030997717637,-35.4705389136073,-7147.42193423402,-38.8176085510629,845.977651230531,NaN,NaN,-14646.0063932229,88.771836251462,40.6028480363726,-36.8373807167811,-17.0762598537177
0.049,16186.8094392343,-246.1274598392,40.7710224252551,20.1024802202299,-35.4706436168829,4856.91165874147,-44.1622901641328,845.978748632402,NaN,NaN,-21043.7210815113,290.289750003333,40.6026245959131,-36.8373888576584,-17.0757110020728
0.05,8995.74125780811,-418.208933607498,40.7706647616824,20.1019060892451,-35.4705578852188,16385.7770093084,-45.1811901323152,845.979597819224,NaN,NaN,-25381.5182522786,463.390123739814,40.6022838145035,-36.8372385579911,-17.0752249289767
0.051,924.142303621511,-549.354255667099,40.7702196765033,20.1014269425139,-35.4703178354115,26310.63573615,-41.7746530153472,845.980067611212,NaN,NaN,-27234.778027973,591.128908682446,40.6018729450873,-36.8369647742853,-17.0748385897811
0.052,-7237.86309010872,-626.726127445065,40.7697433609863,20.1010739270349,-35.4699704073821,33659.9555725452,-34.276187524168,845.980295401586,NaN,NaN,-26422.0924748177,661.002314969233,40.6014456126735,-36.8366148939552,-17.074577271292
0.053,-14691.3293392691,-642.751082533319,40.7692858145179,20.1008623735705,-35.4695643850419,37714.3463507975,-23.4197257142935,845.98037896065,NaN,NaN,-23023.0170088123,666.170808247613,40.6010456506078,-36.8362343849742,-17.0744471142694
0.054,-20706.676839763,-595.860693570389,40.7688895327172,20.100793917471,-35.4691476866623,38076.9532454431,-10.2679325996867,845.980397038042,NaN,NaN,-17370.2764081046,606.128626170076,40.6007044862025,-36.8358607524411,-17.0744419353228
0.055,-24695.0706980611,-490.644993719512,40.7685837471226,20.1008532162187,-35.4687626049483,34712.2699696027,3.89172669170148,845.980488387694,NaN,NaN,-10017.1992788615,486.75326702781,40.6004471363775,-36.8355291710982,-17.074545333887
0.056,-26266.0834028502,-337.403319310036,40.7683830848362,20.1010144458843,-35.4684405859393,27949.6394950141,17.6731590668829,845.980788061824,NaN,NaN,-1683.55610363317,319.730160243153,40.6002876083705,-36.8352680025254,-17.0747294287357
