Time,Va,Ia,Za,Ra,Xa,Vb,Ib,Zb,Rb,Xb,Vc,Ic,Zc,Rc,Xc
0.036,-26266.19061,-337.3477149,40.76518845,20.09719163,-35.46693499,27949.60871,17.67351393,846.0037993,NaN,NaN,-1683.418111,319.674201,40.59737077,-36.83346819,-17.0716764
0.037,-25266.04261,-151.0848772,40.76474013,20.09831367,-35.46578388,18451.00916,29.72783921,845.9992526,NaN,NaN,6815.033436,121.3570379,40.59708438,-36.83263347,-17.07279623
0.038,-21792.64756,49.97045769,40.76478441,20.09962817,-35.46508982,7146.259449,38.87509045,845.9947948,NaN,NaN,14646.3881,-88.84554814,40.5972221,-36.83221823,-17.07401953
0.039,-16186.01382,246.1370688,40.76525266,20.10098227,-35.46486059,-4858.066782,44.21977567,845.9895743,NaN,NaN,21044.08059,-290.3568445,40.5977083,-36.83220135,-17.07521196
0.04,-8994.940207,418.2124044,40.76603458,20.10223999,-35.4650465,-16386.92997,45.23864137,845.9843137,NaN,NaN,25381.87016,-463.4510458,40.59845136,-36.83253029,-17.07626907
0.041,-923.3312123,549.3520907,40.76700888,20.10329445,-35.46556873,-26311.78902,41.83205842,845.9797693,NaN,NaN,27235.12023,-591.1841492,40.59933704,-36.83311955,-17.07710375
0.042,7238.689941,626.7187742,40.76805456,20.10407511,-35.46632821,-33661.10443,34.33355938,845.9768179,NaN,NaN,26422.41448,-661.0523336,40.60026275,-36.83387725,-17.07767028
0.043,14692.16347,642.7389036,40.76905991,20.10454179,-35.46721931,-37715.48833,23.47705698,845.9751351,NaN,NaN,23023.32486,-666.2159605,40.60113592,-36.83470897,-17.07795225
0.044,20707.51277,595.8440571,40.76993343,20.10469591,-35.46813604,-38078.09294,10.32519219,845.9744226,NaN,NaN,17370.58018,-606.1692493,40.60187767,-36.83552185,-17.07796242
0.045,24695.91641,490.6242835,40.77061203,20.10457047,-35.46898718,-34713.4097,-3.834548875,845.9745725,NaN,NaN,10017.4933,-486.7897346,40.60243373,-36.83623728,-17.07774129
0.046,26266.94061,337.3788479,40.77105837,20.10421721,-35.46970046,-27950.77478,-17.61605054,845.9753924,NaN,NaN,1683.834189,-319.7627973,40.60277981,-36.8368039,-17.07734192
